X	Y
3.796925998	2.370064195
3.799329302	2.350212225
3.802686113	2.330499071
3.806988637	2.310970505
3.812226882	2.291671868
3.818388688	2.272647968
3.825459748	2.253942976
3.833423644	2.235600322
3.842261884	2.217662593
3.851953949	2.200171438
3.862477335	2.183167469
3.873807608	2.166690166
3.885918461	2.150777786
3.898781776	2.135467275
3.912367685	2.120794182
3.926644645	2.106792574
3.941579507	2.093494962
3.957137596	2.080932219
3.973282786	2.069133515
3.989977593	2.058126244
4.007183254	2.047935962
4.024859821	2.03858633
4.04296625	2.030099057
4.061460504	2.022493848
4.08029964	2.015788361
4.099439918	2.009998165
4.118836897	2.005136704
4.138445541	2.001215265
4.158220322	1.998242954
4.178115327	1.996226671
4.198084362	1.995171098
4.21	1.995
4.23	1.995
4.25	1.995
4.27	1.995
4.29	1.995
4.31	1.995
4.33	1.995
4.35	1.995
4.37	1.995
4.39	1.995
4.41	1.995
4.43	1.995
4.45	1.995
4.47	1.995
4.49	1.995
4.51	1.995
4.53	1.995
4.55	1.995
4.57	1.995
4.59	1.995
4.61	1.995
4.63	1.995
4.65	1.995
4.67	1.995
4.69	1.995
4.71	1.995
4.73	1.995
4.75	1.995
4.77	1.995
4.79	1.995
4.81	1.995
4.83	1.995
4.85	1.995
4.87	1.995
4.89	1.995
4.91	1.995
4.93	1.995
4.95	1.995
4.97	1.995
4.99	1.995
5.01	1.995
5.03	1.995
5.05	1.995
5.07	1.995
5.09	1.995
5.11	1.995
5.13	1.995
5.15	1.995
5.17	1.995
5.19	1.995
5.21	1.995
5.23	1.995
5.25	1.995
5.27	1.995
5.29	1.995
5.31	1.995
5.33	1.995
5.35	1.995
5.37	1.995
5.39	1.995
5.41	1.995
5.4189117	1.994785231
5.427802708	1.994141423
5.436652382	1.99307007
5.445440173	1.99157366
5.454145679	1.989655668
5.462748686	1.987320546
5.471229219	1.984573717
5.479567589	1.981421558
5.487744435	1.977871388
5.495740772	1.973931449
5.503538034	1.96961089
5.511118116	1.964919743
5.51846342	1.959868898
5.52555689	1.954470084
5.532382058	1.948735835
5.538923076	1.942679466
5.545164756	1.936315038
5.551092607	1.929657328
5.556692866	1.922721795
5.56195253	1.915524541
5.566859385	1.908082278
5.571402041	1.900412284
5.575569949	1.892532369
5.579353432	1.884460828
5.582743706	1.876216402
5.585732899	1.867818233
5.588314071	1.85928582
5.590481228	1.850638974
5.59222934	1.841897771
5.593554346	1.833082507
5.594453171	1.82421365
5.594923727	1.81531179
5.595	1.81
5.595	1.79
5.595	1.77
5.595	1.75
5.595	1.73
5.595	1.71
5.595	1.69
5.595	1.67
5.595	1.65
5.595	1.63
5.595	1.61
5.595	1.59
5.595	1.57
5.595	1.55
5.595	1.53
5.595	1.51
5.595	1.49
5.595	1.47
5.595	1.45
5.595	1.43
5.595	1.41
5.595	1.39
5.595	1.37
5.595	1.35
5.595	1.33
5.595	1.31
5.595	1.29
5.595	1.27
5.595	1.25
5.595	1.23
5.595	1.21
5.595	1.19
5.595	1.17
5.595	1.15
5.595	1.13
5.595	1.11
5.595	1.09
5.595	1.07
5.595	1.05
5.595	1.03
5.595	1.01
5.595	0.99
5.595	0.97
5.595	0.95
5.595	0.93
5.595	0.91
5.595	0.89
5.595	0.87
5.595	0.85
5.595	0.83
5.595	0.81
5.595	0.79
5.595	0.77
5.595	0.75
5.595	0.73
5.595	0.71
5.595	0.69
5.595	0.67
5.595	0.65
5.595	0.63
5.595	0.61
5.594785231	0.6010883
5.594141423	0.592197292
5.59307007	0.583347618
5.59157366	0.574559827
5.589655668	0.565854321
5.587320546	0.557251315
5.584573717	0.548770781
5.581421558	0.540432411
5.577871388	0.532255565
5.573931449	0.524259228
5.56961089	0.516461967
5.564919743	0.508881884
5.559868898	0.50153658
5.554470084	0.49444311
5.548735835	0.487617942
5.542679466	0.481076925
5.536315038	0.474835244
5.529657328	0.468907393
5.522721795	0.463307134
5.515524541	0.458047471
5.508082278	0.453140615
5.500412284	0.448597959
5.492532369	0.444430051
5.484460828	0.440646568
5.476216402	0.437256294
5.467818233	0.434267101
5.45928582	0.431685929
5.450638974	0.429518772
5.441897771	0.42777066
5.433082507	0.426445654
5.42421365	0.425546829
5.41531179	0.425076273
5.41	0.425
5.39	0.425
5.37	0.425
5.35	0.425
5.33	0.425
5.31	0.425
5.29	0.425
5.27	0.425
5.25	0.425
5.23	0.425
5.21	0.425
5.19	0.425
5.17	0.425
5.15	0.425
5.13	0.425
5.11	0.425
5.09	0.425
